Unidade de negócio,Case Name,Cliente,Ano do case,MD,Focal do time,Setor,Produto,Status,ID,Created,Item Type,Path
Transformação Corporativa (CT),CBI - Automotivo,Chassis Brakes International,2016,"Sampaio de Oliveira, Eduardo;#19",,19;#Automotivo,2;#Reduction of G＆A costs and indirect costs,Em validação,905,7/2/2023 14:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,CBS Group Inc: Melhoria para tomada de decisão,CBS Group Inc.,,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",18;#Eletrônico;#22;#Máquinas e equipamentos,104;#Data Analytics,Validado,50,19/1/2022 04:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy (CT),Cervejaria Santa Catarina - Bens de consumo,Cervejaria Santa Catarina,2019,"Pela, Mauricio;#18",,8;#Bebidas,300;#Pricing models,Em validação,1036,7/2/2023 14:37,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Cervejaria Santa Catarina: Fase 1 - Sales force efficiency,Cervejaria Santa Catarina,2019,"Pela, Mauricio;#18","Carbinatto, Lucas;#66",8;#Bebidas,67;#Sales force efficiency,Validado,68,31/3/2022 11:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Cervejaria Santa Catarina: Fase 2 - S&OP,Cervejaria Santa Catarina,2019,"Pela, Mauricio;#18","Masiero, Beatriz;#17",8;#Bebidas,73;#Commercial policy,Validado,3,5/10/2021 12:06,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),CESP Grupo Votorantim - Energia,Companhia Energética de São Paulo,2019,"Sampaio de Oliveira, Eduardo;#19",,23;#Energética,288;#Performance Improvement and Playbook,Em validação,872,7/2/2023 14:35,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),CESP: CIO interino,CESP Grupo Votorantim,2019,"Sampaio de Oliveira, Eduardo;#19","Antonialli, Guilherme;#53",23;#Energética,84;#Acting CIO,Validado,115,27/5/2022 06:51,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),CESP: Melhoria de performance ,CESP Grupo Votorantim,2019,"Mendes, Carlos;#16","Chan, Paulo;#61",23;#Energética,159;#Inventory,Validado,40,11/10/2021 07:58,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Chilli Beans - Redução de Custos G&A e Transformação de Compras,Chilli Beans,2024,"Mendes, Carlos;#16","Pereira, Marcos;#79",9;#Varejo e bens de consumo,436;#Redução de custos G＆A e custos indiretos,Validado,1244,13/9/2024 11:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),Cliente do setor educacional: Análise da estrutura de gastos indiretos,Confidencial,,,,115;#Educação,280;#Gestão,Validado,1118,5/5/2023 09:40,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),Cliente do setor educacional: Estratégia,Confidencial,,,,115;#Educação,229;#Operating model redesign,Validado,1117,5/5/2023 07:51,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Gestão (CT),Cliente do setor educacional: Redução de gastos,Confidencial,,,,115;#Educação,280;#Gestão,Validado,1120,5/5/2023 10:12,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Companhia Brasileira de Planos Funerários S.A.: Grupo Zelo - redução de custos,Companhia Brasileira de Planos Funerários S.A.,2024,"Mendes, Carlos;#16","Lacerda, Felipe;#3193",15;#Serviços,436;#Redução de custos G＆A e custos indiretos,Validado,1255,19/9/2024 09:26,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Contour Global do Brasil: Carve out BR Contratos,Contour Global do Brasil,2022,"Mendes, Carlos;#16","Cremasco, Bruno;#1952",23;#Energética,397;#Renegociação de contratos de compras,Validado,1254,19/9/2024 09:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Contour Global do Brasil: Contour Global do Brasil - Interim Treasury Manager,Contour Global do Brasil,2024,"Mendes, Carlos;#16","Vital, Amanda;#4281",23;#Energética,405;#Gestão Interina - CFO,Validado,1243,21/8/2024 05:23,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Contour Global: Contour Global - CFO Interino,Contour Global,2024,"Mendes, Carlos;#16","Chan, Paulo;#61",,505;#Gestão (gestão interina),Validado,1229,3/7/2024 13:51,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Contour: Diagnóstico e plano de internalização da estrutura de O&M,Contour Global,2018,"Sampaio de Oliveira, Eduardo;#19","Vivo Rodrigues, Alexandre;#15",23;#Energética,201;#Operational;#2;#Reduction of G＆A costs and indirect costs,Validado,4,5/10/2021 12:12,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),ContourGlobal: revisão e otimização operacional.,Contour Global,2022,"Mendes, Carlos;#16;#Sampaio de Oliveira, Eduardo;#19","Chan, Paulo;#61;#Vivo Rodrigues, Alexandre;#15",23;#Energética,141;#A＆M offers,Validado,97,2/5/2022 14:46,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Corporate Transformation (2018 - 2021),Creme Mel: Revisão de footprint,Creme Mel,2019,"Castro, Luciano;#49",,11;#Alimentos,151;#Operational footprint,Validado,18,7/10/2021 11:16,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Crescera Investimentos: IT Due Diligence​,Crescera Investimentos,2021,"Bonora, Ricardo;#116","Massao, Marcos;#86",145;#Private Equity,47;#IT Due Diligence,Validado,1095,28/2/2023 11:39,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),CVC: Legal,CVC Corp,2021,"Mendes, Carlos;#16","Hong, Rodrigo;#441",153;#Viagem e Lazer,186;#Legal,Validado,85,18/4/2022 05:10,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance (CT),Decolar: Legal,Decolar,2021,"Mendes, Carlos;#16","Franco, Andre;#451",153;#Viagem e Lazer,192;#Legal Strategy,Validado,92,25/4/2022 13:55,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Delly's Food Service: Restruturação de TI,Delly's Food Service,2021,"Quintao, Fabio;#23","Segretti, Luis;#488",11;#Alimentos,62;#IT Consulting,Validado,133,8/8/2022 11:44,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
